seccion,coordenada,comparacion,operacion,ID,formulas
CNDHF_2022_M2_Secc4,Y374,a2,igual,a2.8=,"=IF(AND(Y374=M80,OR(AND(ISNUMBER(M80),ISNUMBER(Y374)),AND(ISBLANK(M80),ISBLANK(Y374)),OR(AND(ISBLANK(M80),Y374=""""),AND(ISBLANK(Y374),M80="""")))),0,IF(OR(AND(Y374=""NS"",M80>0,ISNUMBER(M80)),AND(Y374=""NS"",M80=""NS""),OR(AND(M80=""NA"",Y374=""NA""),AND(M80=""NA"",ISBLANK(Y374)))),0,1))"
CNDHF_2022_M2_Secc4,Y330,a2,igual,a2.6=,"=IF(AND(Y330=M80,OR(AND(ISNUMBER(M80),ISNUMBER(Y330)),AND(ISBLANK(M80),ISBLANK(Y330)),OR(AND(ISBLANK(M80),Y330=""""),AND(ISBLANK(Y330),M80="""")))),0,IF(OR(AND(Y330=""NS"",M80>0,ISNUMBER(M80)),AND(Y330=""NS"",M80=""NS""),OR(AND(M80=""NA"",Y330=""NA""),AND(M80=""NA"",ISBLANK(Y330)))),0,1))"
CNDHF_2022_M2_Secc4,Y289,a2,igual,a2.5=,"=IF(AND(Y289=M80,OR(AND(ISNUMBER(M80),ISNUMBER(Y289)),AND(ISBLANK(M80),ISBLANK(Y289)),OR(AND(ISBLANK(M80),Y289=""""),AND(ISBLANK(Y289),M80="""")))),0,IF(OR(AND(Y289=""NS"",M80>0,ISNUMBER(M80)),AND(Y289=""NS"",M80=""NS""),OR(AND(M80=""NA"",Y289=""NA""),AND(M80=""NA"",ISBLANK(Y289)))),0,1))"
CNDHF_2022_M2_Secc4,Y227,a2,igual,a2.3=,"=IF(AND(Y227=M80,OR(AND(ISNUMBER(M80),ISNUMBER(Y227)),AND(ISBLANK(M80),ISBLANK(Y227)),OR(AND(ISBLANK(M80),Y227=""""),AND(ISBLANK(Y227),M80="""")))),0,IF(OR(AND(Y227=""NS"",M80>0,ISNUMBER(M80)),AND(Y227=""NS"",M80=""NS""),OR(AND(M80=""NA"",Y227=""NA""),AND(M80=""NA"",ISBLANK(Y227)))),0,1))"
CNDHF_2022_M2_Secc4,Y193,a2,igual,a2.2=,"=IF(AND(Y193=M80,OR(AND(ISNUMBER(M80),ISNUMBER(Y193)),AND(ISBLANK(M80),ISBLANK(Y193)),OR(AND(ISBLANK(M80),Y193=""""),AND(ISBLANK(Y193),M80="""")))),0,IF(OR(AND(Y193=""NS"",M80>0,ISNUMBER(M80)),AND(Y193=""NS"",M80=""NS""),OR(AND(M80=""NA"",Y193=""NA""),AND(M80=""NA"",ISBLANK(Y193)))),0,1))"
CNDHF_2022_M2_Secc4,Y138,a2,igual,a2.1=,"=IF(AND(Y138=M80,OR(AND(ISNUMBER(M80),ISNUMBER(Y138)),AND(ISBLANK(M80),ISBLANK(Y138)),OR(AND(ISBLANK(M80),Y138=""""),AND(ISBLANK(Y138),M80="""")))),0,IF(OR(AND(Y138=""NS"",M80>0,ISNUMBER(M80)),AND(Y138=""NS"",M80=""NS""),OR(AND(M80=""NA"",Y138=""NA""),AND(M80=""NA"",ISBLANK(Y138)))),0,1))"
CNDHF_2022_M2_Secc4,S374,a1,igual,a1.8=,"=IF(AND(S374=I80,OR(AND(ISNUMBER(I80),ISNUMBER(S374)),AND(ISBLANK(I80),ISBLANK(S374)),OR(AND(ISBLANK(I80),S374=""""),AND(ISBLANK(S374),I80="""")))),0,IF(OR(AND(S374=""NS"",I80>0,ISNUMBER(I80)),AND(S374=""NS"",I80=""NS""),OR(AND(I80=""NA"",S374=""NA""),AND(I80=""NA"",ISBLANK(S374)))),0,1))"
CNDHF_2022_M2_Secc4,S330,a1,igual,a1.6=,"=IF(AND(S330=I80,OR(AND(ISNUMBER(I80),ISNUMBER(S330)),AND(ISBLANK(I80),ISBLANK(S330)),OR(AND(ISBLANK(I80),S330=""""),AND(ISBLANK(S330),I80="""")))),0,IF(OR(AND(S330=""NS"",I80>0,ISNUMBER(I80)),AND(S330=""NS"",I80=""NS""),OR(AND(I80=""NA"",S330=""NA""),AND(I80=""NA"",ISBLANK(S330)))),0,1))"
CNDHF_2022_M2_Secc4,S289,a1,igual,a1.5=,"=IF(AND(S289=I80,OR(AND(ISNUMBER(I80),ISNUMBER(S289)),AND(ISBLANK(I80),ISBLANK(S289)),OR(AND(ISBLANK(I80),S289=""""),AND(ISBLANK(S289),I80="""")))),0,IF(OR(AND(S289=""NS"",I80>0,ISNUMBER(I80)),AND(S289=""NS"",I80=""NS""),OR(AND(I80=""NA"",S289=""NA""),AND(I80=""NA"",ISBLANK(S289)))),0,1))"
CNDHF_2022_M2_Secc4,S227,a1,igual,a1.3=,"=IF(AND(S227=I80,OR(AND(ISNUMBER(I80),ISNUMBER(S227)),AND(ISBLANK(I80),ISBLANK(S227)),OR(AND(ISBLANK(I80),S227=""""),AND(ISBLANK(S227),I80="""")))),0,IF(OR(AND(S227=""NS"",I80>0,ISNUMBER(I80)),AND(S227=""NS"",I80=""NS""),OR(AND(I80=""NA"",S227=""NA""),AND(I80=""NA"",ISBLANK(S227)))),0,1))"
CNDHF_2022_M2_Secc4,S193,a1,igual,a1.2=,"=IF(AND(S193=I80,OR(AND(ISNUMBER(I80),ISNUMBER(S193)),AND(ISBLANK(I80),ISBLANK(S193)),OR(AND(ISBLANK(I80),S193=""""),AND(ISBLANK(S193),I80="""")))),0,IF(OR(AND(S193=""NS"",I80>0,ISNUMBER(I80)),AND(S193=""NS"",I80=""NS""),OR(AND(I80=""NA"",S193=""NA""),AND(I80=""NA"",ISBLANK(S193)))),0,1))"
CNDHF_2022_M2_Secc4,"M154,M155,M156,M157",a3,igual,a3.1=,"=IF(AND(IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157))))=M135,OR(AND(ISNUMBER(M135),ISNUMBER(IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157)))))),AND(ISBLANK(M135),ISBLANK(IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157)))))),OR(AND(ISBLANK(M135),IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157))))=""""),AND(ISBLANK(IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157))))),M135="""")))),0,IF(OR(AND(IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157))))=""NS"",M135>0,ISNUMBER(M135)),AND(IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157))))=""NS"",M135=""NS""),OR(AND(M135=""NA"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157))))=""NA""),AND(M135=""NA"",ISBLANK(IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NS"")>0),""NS"",IF(AND(SUM(M154:M157)=0,COUNTIF(M154:M157,""NA"")>0),""NA"",IF(AND(ISBLANK(M154),ISBLANK(M155),ISBLANK(M156),ISBLANK(M157)),"""",SUM(M154:M157)))))))),0,1))"
